#,Assignee,Closed,Faturado,Subject,Project,Due date,Estimated time,Tracker,Status
7853,"","",Yes,[36] (PEDIDOS/PEDIDOS COMPRAS) INCLUIR CAMPO DESCONTO,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7852,"","",Yes,[35] (PEDIDOS/PEDIDOS VENDAS) INCLUIR CAMPO DESCONTO,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7850,"","",Yes,"[33] (VENDAS/COTAÇÃO) CRIAR REVISÃO(REV1) E CORREÇÃO PARA COTAÇÕES NO MOMENTO DA EDIÇÃO, COM PERGUNTA NO MOMENTO DO SALVAMENTO DEPOIS DA PRIMEIRA GRAVAÇÃO.",ERP Efiltros,11/12/2020,1.00,Melhoria,Andamento
7849,"","",Yes,[32] (VENDAS/COTAÇÕES) CONFIGURAÇÃO DE CONDIÇÕES COMERCIAIS (TEXTOS FIXOS),ERP Efiltros,11/12/2020,0.50,Melhoria,Andamento
7845,"","",Yes,[28] (COMPRAS/RECEBIMENTOS) AO REALIZAR O RECEBIMENTO VERIFICAR SE AS PARCELAS DE PAGAMENTO ESTÃO COM A MESMA DATA DE VENCIMENTO ,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7834,"","",Yes,[17] (FINANCEIRO/BOLETOS) TRATAMENTO DE BOLETOS DESCONTADOS ONDE DEVEM APARECER NAS TRANSAÇÕES COMO DESCONTADOS,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7833,"","",Yes,[16] (VENDAS/NOTAS FISCAIS) PARA PAGAMENTO A VISTA GERAR DESCRIÇÃO A VISTA DA DUPLICATA DANFE OU ENTRADA QUANDO TIVERMOS PARCELAS,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7821,"","",Yes,"[04] (VENDAS/COTAÇÃO) FORMULÁRIO DE COTAÇÃO INCLUIR NCM, REDUZIR FONTES E MELHORAR ALINHAMENTOS",ERP Efiltros,11/12/2020,1.00,Melhoria,Andamento
7817,"","",No,Desenvolvimentos ERP Efiltros,ERP Efiltros,"","",Projeto,Andamento
7752,"",10/09/2020 05:18 PM,"",[vue-production] Error: Request failed with status code 404,Quero Leiloar,04/09/2020,0.50,Bug,Planejado
7728,"","",,APARECER MENSAGEM DE SALVO COM SUCESSO QUANDO ALTERAR DIA E HORÁRIO,Quero Leiloar,11/12/2020,0.50,Melhoria,Planejado
7703,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'cep' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7702,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'uf' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7701,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'municipio' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7700,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'bairro' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7699,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'complemento' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7698,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'numero' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7697,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'logradouro' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7696,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'cpf_cnpj' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7695,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'email' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7694,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'telefone' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7693,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'logo_url' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7692,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'youtube' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7691,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'linkedin' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7690,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'twitter' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7689,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'instagram' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7688,"",08/12/2020 04:33 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'facebook' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7687,"",17/08/2020 05:05 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'contato' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
7685,Cesar Vieira,08/12/2020 04:31 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'updated_at' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7684,"",17/08/2020 05:05 PM,"",[laravel-staging] E_NOTICE: Trying to get property 'name' of non-object,Quero Leiloar,11/12/2020,0.50,Bug,Planejado
7683,Cesar Vieira,08/12/2020 03:44 PM,"",[laravel-staging] E_NOTICE: Undefined variable: tenant,Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7681,Cesar Vieira,08/12/2020 04:00 PM,"","[laravel-production] Swift_TransportException: Expected response code 354 but got code ""554"", with message ""554 5.5.1 Error: no valid recipients""",Quero Leiloar,11/12/2020,0.50,Bug,Revisão
7651,"","",Yes,[38] (AGENDA) CRIAR BUSCA POR TITULOS NA AGENDA,ERP Efiltros,11/12/2020,0.50,Melhoria,Planejado
7596,Cesar Vieira,25/08/2020 04:13 PM,"",[vue-production] TypeError: Cannot read property 'id' of undefined,ERP Efiltros,14/08/2020,0.50,Bug,Planejado
7453,Cesar Vieira,31/08/2020 08:24 PM,"",[vue-production] TypeError: Cannot read property 'getTiles' of undefined,ERP Efiltros,14/08/2020,0.50,Bug,Planejado
6478,"","",No,Loja para Cursos,A Casa do Artista,"",3.00,Melhoria,Espera
6477,"","",No,Tradução de alguns itens no paniel (ex. VAT),A Casa do Artista,"",1.50,Melhoria,Espera
6476,"","",No,Importação de clientes,A Casa do Artista,"",2.00,Tarefa,Espera
6473,"","",No,Cancelamento Cielo - Parcial,A Casa do Artista,"",3.00,Melhoria,Espera
6455,"",10/09/2020 05:18 PM,"",[vue-production] ReferenceError: io is not defined,Quero Leiloar,04/09/2020,0.50,Bug,Planejado
6295,"","",No,Inserir campo para preenchimento de cubagem e peso,Quero Leiloar,18/12/2020,0.50,Melhoria,Planejado
6292,Cesar Vieira,"",No,Fechar pedidos pelo winthor,A Casa do Artista,11/12/2020,2.50,Melhoria,Andamento
6280,"","",,TÓPICOS TI - QUERO LEILOAR,Quero Leiloar,"","",Projeto,Andamento
6125,"","",,Recurso de zoom na image,Quero Leiloar,18/12/2020,1.00,Melhoria,Planejado
5199,"","",No,Loja para Cursos,A Casa do Artista,31/12/2020,5.00,Melhoria,Planejado
5198,"","",,Tradução de alguns itens no paniel (ex. VAT),A Casa do Artista,24/12/2020,0.50,Melhoria,Planejado
5197,"","",,Importação de clientes,A Casa do Artista,24/12/2020,2.00,Melhoria,Planejado
5194,"","",,Link para Instagram,A Casa do Artista,24/12/2020,0.50,Melhoria,Planejado
5193,"","",,FTP,A Casa do Artista,18/12/2020,1.00,Melhoria,Planejado
5093,"","",,Nota de Arrematação,Quero Leiloar,11/12/2020,1.00,Melhoria,Planejado
4230,"","",No,QUERO LEILOAR,Quero Leiloar,"","",Projeto,Andamento
4153,"","",No,Usuário dono do lote não pode dar lance no leilão,Quero Leiloar,11/12/2020,1.00,Melhoria,Planejado
4152,"","",No,"Botão ""RETIRAR RESERVA"" (PREÇO CONTRATADO)",Quero Leiloar,11/12/2020,1.00,Melhoria,Planejado
4151,"","",No,Sexta-feira 01/11/2019,Quero Leiloar,"","",Projeto,Andamento
3849,"","",No,Popup,A Casa do Artista,24/12/2020,0.50,Melhoria,Planejado
3842,"","",No,Programa de Fidelidade,A Casa do Artista,18/12/2020,4.00,Melhoria,Planejado
3831,"","",Yes,Novo projeto em Magento 2,A Casa do Artista,"",64.00,Projeto,Andamento
